,pokedex_number,name,japanese_name,hp,attack,defense,sp_attack,sp_defense,speed,weight_kg,height_m,percentage_male,experience_growth,capture_rate,classfication,base_egg_steps,base_happiness,base_total,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,generation,is_legendary,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water
0,1,Bulbasaur,Fushigidaneフシギダネ,45,49,49,65,65,45,6.9,0.7,88.1,1059860,45,Seed Pokémon,5120,70,318,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,Ivysaur,Fushigisouフシギソウ,60,62,63,80,80,60,13.0,1.0,88.1,1059860,45,Seed Pokémon,5120,70,405,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,3,Venusaur,Fushigibanaフシギバナ,80,100,123,122,120,80,100.0,2.0,88.1,1059860,45,Seed Pokémon,5120,70,625,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,4,Charmander,Hitokageヒトカゲ,39,52,43,60,50,65,8.5,0.6,88.1,1059860,45,Lizard Pokémon,5120,70,309,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,Charmeleon,Lizardoリザード,58,64,58,80,65,80,19.0,1.1,88.1,1059860,45,Flame Pokémon,5120,70,405,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,6,Charizard,Lizardonリザードン,78,104,78,159,115,100,90.5,1.7,88.1,1059860,45,Flame Pokémon,5120,70,634,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,7,Squirtle,Zenigameゼニガメ,44,48,65,50,64,43,9.0,0.5,88.1,1059860,45,Tiny Turtle Pokémon,5120,70,314,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8,Wartortle,Kameilカメール,59,63,80,65,80,58,22.5,1.0,88.1,1059860,45,Turtle Pokémon,5120,70,405,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,9,Blastoise,Kamexカメックス,79,103,120,135,115,78,85.5,1.6,88.1,1059860,45,Shellfish Pokémon,5120,70,630,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,10,Caterpie,Caterpieキャタピー,45,30,35,20,20,45,2.9,0.3,50.0,1000000,255,Worm Pokémon,3840,70,195,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,Metapod,Transelトランセル,50,20,55,25,25,30,9.9,0.7,50.0,1000000,120,Cocoon Pokémon,3840,70,205,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,Butterfree,Butterfreeバタフリー,60,45,50,90,80,70,32.0,1.1,50.0,1000000,45,Butterfly Pokémon,3840,70,395,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,13,Weedle,Beedleビードル,40,35,30,20,20,50,3.2,0.3,50.0,1000000,255,Hairy Pokémon,3840,70,195,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,14,Kakuna,Cocoonコクーン,45,25,50,25,25,35,10.0,0.6,50.0,1000000,120,Cocoon Pokémon,3840,70,205,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,15,Beedrill,Spearスピアー,65,150,40,15,80,145,29.5,1.0,50.0,1000000,45,Poison Bee Pokémon,3840,70,495,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,16,Pidgey,Poppoポッポ,40,45,40,35,35,56,1.8,0.3,50.0,1059860,255,Tiny Bird Pokémon,3840,70,251,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
